theme,ranking,ranking,ranking,ranking,ranking,ranking,ranking,noisy net test,noisy net test,noisy net test,noisy net test,distributional test,distributional test,distributional test,distributional test,distributional test,distributional test,distributional test,distributional test,distributional test,distributional test,distributional test,distributional test
training_cycle,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
target_update_cycle,15,15,15,22,10,22,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
lr,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
lrdecaytype,exp,exp,exp,exp,exp,exp,exp,exp,exp,exp,exp,exp,exp,exp,exp,exp,exp,exp,exp,exp,exp,exp,exp
lrdecay,0.9992,0.9997,0.9992,0.99992,0.9997,0.9997,0.9997,0.9997,0.9998,0.9999,0.9999,0.9997,0.9994,0.9997,0.9997,0.9995,0.9992,0.9992,0.9992,0.9992,0.9992,0.9992,0.9992
minlr,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
layer_n,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
layer_width,40,30,40,30,30,30,30,30,30,30,30,30,64,64,40,40,64,40,40,40,40,40,40
epsilon,4;100000;0.1;-30/fix;-fix*0.4,4;100000;0.1;-30/fix;-fix*0.4,4;100000;0.1;-30/fix;-fix*0.4,4;100000;0.1;-30/fix;-fix*0.4,4;100000;0.1;-30/fix;-fix*0.4,4;100000;0.1;-30/fix;-fix*0.4,4;100000;0.1;-30/fix;-fix*0.4,4;100000;0.1;-30/fix;-fix*0.4,4;100000;0.1;-30/fix;-fix*0.4,4;100000;0.1;-30/fix;-fix*0.4,4;100000;0.1;-30/fix;-fix*0.4,4;100000;0.1;-30/fix;-fix*0.4,4;100000;0.1;-30/fix;-fix*0.4,4;100000;0.1;-30/fix;-fix*0.4,4;100000;0.1;-30/fix;-fix*0.4,4;100000;0.1;-30/fix;-fix*0.4,4;100000;0.1;-30/fix;-fix*0.4,4;100000;0.1;-30/fix;-fix*0.4,4;100000;0.1;-30/fix;-fix*0.4,4;100000;0.1;-30/fix;-fix*0.4,4;100000;0.1;-30/fix;-fix*0.4,4;100000;0.1;-30/fix;-fix*0.4,4;100000;0.1;-30/fix;-fix*0.4
ddqn,F,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
dueling,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
hidden_shared_num,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
hidden_split_num,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
hidden_shared_width,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
hidden_split_width,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
prioritized,F,F,F,F,F,F,T,F,F,F,F,T,T,T,T,T,T,T,T,T,F,F,F
beta0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
alpha,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
nstep,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
noisy,F,F,F,F,F,F,F,T,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F
distributional,T,F,T,F,F,F,F,F,F,F,F,T,T,T,T,T,T,T,T,T,T,T,T
atomn,16,0,16,0,0,0,0,0,0,0,0,6,51,51,21,21,51,21,26,16,16,16,16
vmin,-104,0,-104,0,0,0,0,0,0,0,0,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-104,-104
vmax,70,0,70,0,0,0,0,0,0,0,0,30,30,30,30,30,50,50,70,70,70,70,70
