seed,c,mean_reward,persistence_prob,local_dips_a,local_dips_i,local_dips_s,prod_action,stock_a,stock_i,stock_s
662601.0,5.0,196.2817736088889,0.94,0.099,0.068,0.069,0.7,0.37,0.43,0.2
962538.0,5.0,196.67510289777778,0.96,0.126,0.077,0.065,0.63,0.63,0.22,0.15
18466.0,5.0,187.42666666666668,0.96,0.069,0.061,0.032,1.0,0.53,0.27,0.2
477180.0,5.0,197.8920136738889,0.97,0.124,0.057,0.037,0.68,0.32,0.32,0.36
76696.0,5.0,193.64992362111113,0.94,0.114,0.096,0.086,0.65,0.38,0.26,0.36
26325.0,5.0,194.81288294055557,0.95,0.13,0.078,0.061,0.67,0.29,0.35,0.36
543939.0,5.0,198.44118685,0.97,0.123,0.056,0.041,0.67,0.46,0.36,0.18
785574.0,5.0,192.69586939277778,0.95,0.103,0.076,0.065,0.76,0.3,0.34,0.37
619150.0,5.0,194.4460102411111,0.93,0.143,0.082,0.08,0.62,0.32,0.46,0.22
691900.0,5.0,196.4836039322222,0.96,0.112,0.073,0.062,0.67,0.44,0.31,0.25
640260.0,5.0,194.33758238277778,0.94,0.12,0.101,0.064,0.66,0.58,0.24,0.18
28550.0,5.0,196.68925715666668,0.96,0.109,0.074,0.062,0.67,0.62,0.22,0.15
484673.0,5.0,192.41939491555556,0.93,0.106,0.091,0.085,0.71,0.49,0.21,0.29
368171.0,5.0,197.28482614166668,0.95,0.123,0.05,0.061,0.68,0.31,0.46,0.23
700079.0,5.0,196.4028469822222,0.94,0.102,0.074,0.081,0.66,0.33,0.32,0.35
673198.0,5.0,195.39722489666667,0.96,0.103,0.053,0.044,0.77,0.34,0.46,0.2
970218.0,5.0,192.8756997561111,0.97,0.09,0.048,0.046,0.85,0.37,0.41,0.23
305609.0,5.0,195.88429558666667,0.97,0.1,0.073,0.058,0.71,0.43,0.25,0.32
999904.0,5.0,194.87070465611114,0.94,0.091,0.082,0.062,0.73,0.36,0.33,0.31
600091.0,5.0,194.68131338388892,0.96,0.102,0.08,0.083,0.68,0.42,0.37,0.21
