(76422)  # .\zztrain_133_76422.log
  seed 647555: 16.08023067
  seed 162605: 14.83717312
  seed 110688: 13.92631345
  seed 597264: 13.52319313
  seed 632389: 13.06320195
  seed 457424: 13.0537028
  seed 486228: 12.39933575
  seed 727976: 12.20695272
  seed 518787: 11.44340558
  seed 273797: 11.27500648
  seed 293425: 11.15105588
  seed 407282: 10.81820185
  seed 735090: 10.56331477
  seed 777076: 10.32880285
  seed 858666: 10.25244492
(76423)  # .\zztrain_133_76423.log
  seed 247509: 16.14403432
  seed 52663: 15.744077
  seed 179084: 13.92704867
  seed 971087: 13.45326258
  seed 790675: 13.17464732
  seed 616444: 12.17825147
  seed 346538: 11.75265637
  seed 620990: 11.67686865
  seed 842197: 11.58436688
  seed 906819: 11.40918383
  seed 779941: 10.74443732
  seed 663708: 10.71949658
  seed 685870: 10.68790662
  seed 575914: 10.20137662
  seed 11902: 10.0798509
  seed 864245: 10.07679847
  seed 792600: 10.00695968
  seed 966845: 10.00645738
